敏感性变量,场景,敏感性变量取值,产品定价,新品定价,产品批发价,新品批发价,产品销售价,新品销售价,广告系数,企业利润,平台利润,消费者总效益,耗时
产品定价,Q1,1.028140703517588,1.028140703517588,1.275,0.975,1.275,0.975,1.275,0.25,7250.52,1140.51,34606.13,28.975
产品定价,Q1,1.0291457286432162,1.0291457286432162,1.275,0.975,1.275,0.975,1.275,0.25,7277.06,1143.46,34899.66,28.9243
产品定价,Q1,1.0301507537688441,1.0301507537688441,1.275,0.975,1.275,0.975,1.275,0.25,7281.38,1128.75,34857.8,29.3122
产品定价,Q1,1.0311557788944723,1.0311557788944723,1.275,0.975,1.275,0.975,1.275,0.25,7248.23,1134.1,34602.31,28.9639
产品定价,Q1,1.0321608040201005,1.0321608040201005,1.275,0.975,1.275,0.975,1.275,0.25,7324.97,1153.88,35027.33,30.5599
产品定价,Q1,1.0331658291457286,1.0331658291457286,1.275,0.975,1.275,0.975,1.275,0.25,7315.68,1143.97,34940.38,38.9488
产品定价,Q1,1.0341708542713568,1.0341708542713568,1.275,0.975,1.275,0.975,1.275,0.25,7296.52,1149.65,34916.64,34.4178
产品定价,Q1,1.035175879396985,1.035175879396985,1.275,0.975,1.275,0.975,1.275,0.25,7227.59,1140.98,34560.37,30.2667
产品定价,Q1,1.0361809045226131,1.0361809045226131,1.275,0.975,1.275,0.975,1.275,0.25,7247.4,1136.11,34575.07,34.9834
产品定价,Q1,1.0371859296482413,1.0371859296482413,1.275,0.975,1.275,0.975,1.275,0.25,7214.48,1137.47,34411.16,30.5429
产品定价,Q1,1.0381909547738692,1.0381909547738692,1.275,0.975,1.275,0.975,1.275,0.25,7293.97,1156.39,35037.27,33.4357
产品定价,Q1,1.0391959798994974,1.0391959798994974,1.275,0.975,1.275,0.975,1.275,0.25,7232.26,1127.99,34601.38,30.6485
产品定价,Q1,1.0402010050251256,1.0402010050251256,1.275,0.975,1.275,0.975,1.275,0.25,7225.72,1131.76,34507.96,30.9922
产品定价,Q1,1.0412060301507537,1.0412060301507537,1.275,0.975,1.275,0.975,1.275,0.25,7273.79,1119.01,34715.44,36.029
产品定价,Q1,1.042211055276382,1.042211055276382,1.275,0.975,1.275,0.975,1.275,0.25,7233.62,1128.25,34582.92,37.0557
产品定价,Q1,1.04321608040201,1.04321608040201,1.275,0.975,1.275,0.975,1.275,0.25,7275.53,1149.43,34846.17,32.4883
产品定价,Q1,1.0442211055276382,1.0442211055276382,1.275,0.975,1.275,0.975,1.275,0.25,7269.52,1127.95,34657.25,32.5341
产品定价,Q1,1.0452261306532664,1.0452261306532664,1.275,0.975,1.275,0.975,1.275,0.25,7243.88,1126.13,34651.22,29.4963
产品定价,Q1,1.0462311557788944,1.0462311557788944,1.275,0.975,1.275,0.975,1.275,0.25,7284.82,1132.12,34908.98,28.8072
产品定价,Q1,1.0472361809045225,1.0472361809045225,1.275,0.975,1.275,0.975,1.275,0.25,7262.63,1142.13,34990.2,30.8886
产品定价,Q1,1.0482412060301507,1.0482412060301507,1.275,0.975,1.275,0.975,1.275,0.25,7259.16,1132.15,34634.66,29.737
产品定价,Q1,1.0492462311557789,1.0492462311557789,1.275,0.975,1.275,0.975,1.275,0.25,7246.87,1135.03,34586.75,38.0352
产品定价,Q1,1.050251256281407,1.050251256281407,1.275,0.975,1.275,0.975,1.275,0.25,7300.41,1153.95,35118.5,27.8708
产品定价,Q1,1.0512562814070352,1.0512562814070352,1.275,0.975,1.275,0.975,1.275,0.25,7210.39,1120.39,34484.91,27.7241
产品定价,Q1,1.0522613065326634,1.0522613065326634,1.275,0.975,1.275,0.975,1.275,0.25,7238.29,1131.06,34633.79,30.5778
产品定价,Q1,1.0532663316582915,1.0532663316582915,1.275,0.975,1.275,0.975,1.275,0.25,7292.75,1134.72,34884.59,30.8126
产品定价,Q1,1.0542713567839195,1.0542713567839195,1.275,0.975,1.275,0.975,1.275,0.25,7291.37,1135.69,34706.15,36.5299
产品定价,Q1,1.0552763819095476,1.0552763819095476,1.275,0.975,1.275,0.975,1.275,0.25,7300.13,1137.39,34782.11,34.4299
产品定价,Q1,1.0562814070351758,1.0562814070351758,1.275,0.975,1.275,0.975,1.275,0.25,7278.44,1122.94,34800.03,33.0891
产品定价,Q1,1.057286432160804,1.057286432160804,1.275,0.975,1.275,0.975,1.275,0.25,7295.71,1132.14,34841.16,33.999
产品定价,Q1,1.0582914572864321,1.0582914572864321,1.275,0.975,1.275,0.975,1.275,0.25,7277.04,1135.43,34833.39,33.5579
产品定价,Q1,1.0592964824120603,1.0592964824120603,1.275,0.975,1.275,0.975,1.275,0.25,7260.44,1132.66,34777.98,33.8029
产品定价,Q1,1.0603015075376885,1.0603015075376885,1.275,0.975,1.275,0.975,1.275,0.25,7264.2,1122.21,34612.48,31.7382
产品定价,Q1,1.0613065326633166,1.0613065326633166,1.275,0.975,1.275,0.975,1.275,0.25,7252.79,1125.77,34816.83,28.8242
产品定价,Q1,1.0623115577889446,1.0623115577889446,1.275,0.975,1.275,0.975,1.275,0.25,7276.61,1132.3,34957.56,31.7739
产品定价,Q1,1.0633165829145728,1.0633165829145728,1.275,0.975,1.275,0.975,1.275,0.25,7244.24,1122.8,34595.09,34.3459
产品定价,Q1,1.064321608040201,1.064321608040201,1.275,0.975,1.275,0.975,1.275,0.25,7271.94,1131.9,34797.35,36.7848
产品定价,Q1,1.065326633165829,1.065326633165829,1.275,0.975,1.275,0.975,1.275,0.25,7289.49,1134.54,34845.95,36.9595
产品定价,Q1,1.0663316582914573,1.0663316582914573,1.275,0.975,1.275,0.975,1.275,0.25,7246.12,1141.08,34735.92,37.3782
产品定价,Q1,1.0673366834170854,1.0673366834170854,1.275,0.975,1.275,0.975,1.275,0.25,7225.93,1112.47,34632.07,30.4734
产品定价,Q1,1.0683417085427136,1.0683417085427136,1.275,0.975,1.275,0.975,1.275,0.25,7247.11,1127.77,34620.59,33.982
产品定价,Q1,1.0693467336683418,1.0693467336683418,1.275,0.975,1.275,0.975,1.275,0.25,7297.36,1135.47,34745.27,31.852
产品定价,Q1,1.07035175879397,1.07035175879397,1.275,0.975,1.275,0.975,1.275,0.25,7265.02,1136.89,34816.41,36.0029
产品定价,Q1,1.0713567839195979,1.0713567839195979,1.275,0.975,1.275,0.975,1.275,0.25,7243.31,1136.72,34790.79,36.3395
产品定价,Q1,1.072361809045226,1.072361809045226,1.275,0.975,1.275,0.975,1.275,0.25,7265.15,1132.33,34860.9,36.3702
产品定价,Q1,1.0733668341708542,1.0733668341708542,1.275,0.975,1.275,0.975,1.275,0.25,7324.12,1139.29,34919.71,33.8141
产品定价,Q1,1.0743718592964824,1.0743718592964824,1.275,0.975,1.275,0.975,1.275,0.25,7280.78,1136.39,34888.91,31.439
产品定价,Q1,1.0753768844221105,1.0753768844221105,1.275,0.975,1.275,0.975,1.275,0.25,7248.3,1140.27,34622.6,35.4622
产品定价,Q1,1.0763819095477387,1.0763819095477387,1.275,0.975,1.275,0.975,1.275,0.25,7222.57,1121.14,34361.0,33.9561
产品定价,Q1,1.0773869346733669,1.0773869346733669,1.275,0.975,1.275,0.975,1.275,0.25,7317.17,1139.75,34848.72,36.1611
产品定价,Q1,1.078391959798995,1.078391959798995,1.275,0.975,1.275,0.975,1.275,0.25,7271.11,1132.11,34639.18,29.2328
产品定价,Q1,1.0793969849246232,1.0793969849246232,1.275,0.975,1.275,0.975,1.275,0.25,7240.22,1125.06,34683.92,31.3661
产品定价,Q1,1.0804020100502512,1.0804020100502512,1.275,0.975,1.275,0.975,1.275,0.25,7261.05,1130.59,34734.28,36.2789
产品定价,Q1,1.0814070351758793,1.0814070351758793,1.275,0.975,1.275,0.975,1.275,0.25,7223.96,1116.57,34673.35,28.5175
产品定价,Q1,1.0824120603015075,1.0824120603015075,1.275,0.975,1.275,0.975,1.275,0.25,7232.03,1126.23,34393.2,30.997
产品定价,Q1,1.0834170854271357,1.0834170854271357,1.275,0.975,1.275,0.975,1.275,0.25,7287.6,1131.61,34839.22,31.8437
产品定价,Q1,1.0844221105527638,1.0844221105527638,1.275,0.975,1.275,0.975,1.275,0.25,7289.59,1143.44,34943.63,31.4625
产品定价,Q1,1.085427135678392,1.085427135678392,1.275,0.975,1.275,0.975,1.275,0.25,7273.93,1134.25,34893.58,32.9049
产品定价,Q1,1.0864321608040202,1.0864321608040202,1.275,0.975,1.275,0.975,1.275,0.25,7233.31,1129.31,34637.59,39.756
产品定价,Q1,1.087437185929648,1.087437185929648,1.275,0.975,1.275,0.975,1.275,0.25,7191.99,1115.63,34549.21,32.4483
产品定价,Q1,1.0884422110552763,1.0884422110552763,1.275,0.975,1.275,0.975,1.275,0.25,7242.33,1135.33,34530.41,31.6595
产品定价,Q1,1.0894472361809044,1.0894472361809044,1.275,0.975,1.275,0.975,1.275,0.25,7286.31,1152.12,34791.83,30.0751
产品定价,Q1,1.0904522613065326,1.0904522613065326,1.275,0.975,1.275,0.975,1.275,0.25,7252.75,1131.06,34774.03,29.045
产品定价,Q1,1.0914572864321608,1.0914572864321608,1.275,0.975,1.275,0.975,1.275,0.25,7238.96,1130.52,34667.76,29.5781
产品定价,Q1,1.092462311557789,1.092462311557789,1.275,0.975,1.275,0.975,1.275,0.25,7195.0,1124.03,34365.47,31.317
产品定价,Q1,1.0934673366834171,1.0934673366834171,1.275,0.975,1.275,0.975,1.275,0.25,7250.93,1127.39,34632.88,33.6728
产品定价,Q1,1.0944723618090453,1.0944723618090453,1.275,0.975,1.275,0.975,1.275,0.25,7223.0,1131.29,34738.89,28.9153
产品定价,Q1,1.0954773869346734,1.0954773869346734,1.275,0.975,1.275,0.975,1.275,0.25,7261.6,1131.51,34851.13,28.9212
产品定价,Q1,1.0964824120603014,1.0964824120603014,1.275,0.975,1.275,0.975,1.275,0.25,7249.88,1135.75,34679.27,37.85
产品定价,Q1,1.0974874371859296,1.0974874371859296,1.275,0.975,1.275,0.975,1.275,0.25,7218.29,1113.48,34513.79,48.0014
产品定价,Q1,1.0984924623115577,1.0984924623115577,1.275,0.975,1.275,0.975,1.275,0.25,7275.58,1132.49,34777.0,32.053
产品定价,Q1,1.099497487437186,1.099497487437186,1.275,0.975,1.275,0.975,1.275,0.25,7241.21,1135.24,34700.91,33.1785
产品定价,Q1,1.100502512562814,1.100502512562814,1.275,0.975,1.275,0.975,1.275,0.25,7223.9,1126.8,34530.46,43.8367
产品定价,Q1,1.1015075376884422,1.1015075376884422,1.275,0.975,1.275,0.975,1.275,0.25,7267.67,1136.48,35027.09,31.9246
产品定价,Q1,1.1025125628140704,1.1025125628140704,1.275,0.975,1.275,0.975,1.275,0.25,7291.38,1130.14,34906.76,37.1367
产品定价,Q1,1.1035175879396986,1.1035175879396986,1.275,0.975,1.275,0.975,1.275,0.25,7265.23,1131.3,34794.66,36.1559
产品定价,Q1,1.1045226130653267,1.1045226130653267,1.275,0.975,1.275,0.975,1.275,0.25,7214.4,1125.7,34528.71,34.4643
产品定价,Q1,1.1055276381909547,1.1055276381909547,1.275,0.975,1.275,0.975,1.275,0.25,7283.58,1144.2,35021.93,36.6085
产品定价,Q1,1.1065326633165828,1.1065326633165828,1.275,0.975,1.275,0.975,1.275,0.25,7218.59,1117.99,34483.58,36.7388
产品定价,Q1,1.107537688442211,1.107537688442211,1.275,0.975,1.275,0.975,1.275,0.25,7229.45,1119.18,34424.42,32.8824
产品定价,Q1,1.1085427135678392,1.1085427135678392,1.275,0.975,1.275,0.975,1.275,0.25,7309.65,1138.5,34889.63,36.5628
产品定价,Q1,1.1095477386934673,1.1095477386934673,1.275,0.975,1.275,0.975,1.275,0.25,7263.85,1134.88,34833.79,35.2437
产品定价,Q1,1.1105527638190955,1.1105527638190955,1.275,0.975,1.275,0.975,1.275,0.25,7305.68,1127.4,34858.04,37.5168
产品定价,Q1,1.1115577889447237,1.1115577889447237,1.275,0.975,1.275,0.975,1.275,0.25,7302.12,1142.72,34993.29,31.5314
产品定价,Q1,1.1125628140703516,1.1125628140703516,1.275,0.975,1.275,0.975,1.275,0.25,7233.54,1135.11,34794.72,32.6824
产品定价,Q1,1.1135678391959798,1.1135678391959798,1.275,0.975,1.275,0.975,1.275,0.25,7245.62,1134.92,34598.25,35.3177
产品定价,Q1,1.114572864321608,1.114572864321608,1.275,0.975,1.275,0.975,1.275,0.25,7205.1,1126.25,34568.58,34.3557
产品定价,Q1,1.1155778894472361,1.1155778894472361,1.275,0.975,1.275,0.975,1.275,0.25,7263.54,1126.06,34719.92,32.9817
产品定价,Q1,1.1165829145728643,1.1165829145728643,1.275,0.975,1.275,0.975,1.275,0.25,7247.51,1132.17,34676.01,30.4696
产品定价,Q1,1.1175879396984925,1.1175879396984925,1.275,0.975,1.275,0.975,1.275,0.25,7284.15,1122.9,34719.99,29.4932
产品定价,Q1,1.1185929648241206,1.1185929648241206,1.275,0.975,1.275,0.975,1.275,0.25,7265.04,1129.23,34788.8,30.8344
产品定价,Q1,1.1195979899497488,1.1195979899497488,1.275,0.975,1.275,0.975,1.275,0.25,7280.44,1139.0,34910.73,32.2386
产品定价,Q1,1.120603015075377,1.120603015075377,1.275,0.975,1.275,0.975,1.275,0.25,7276.28,1118.22,34771.77,31.7689
产品定价,Q1,1.121608040201005,1.121608040201005,1.275,0.975,1.275,0.975,1.275,0.25,7252.13,1141.4,34842.8,31.4289
产品定价,Q1,1.122613065326633,1.122613065326633,1.275,0.975,1.275,0.975,1.275,0.25,7268.81,1129.19,34755.46,31.8164
产品定价,Q1,1.1236180904522612,1.1236180904522612,1.275,0.975,1.275,0.975,1.275,0.25,7277.19,1138.73,34913.64,42.371
产品定价,Q1,1.1246231155778894,1.1246231155778894,1.275,0.975,1.275,0.975,1.275,0.25,7234.04,1136.71,34653.41,32.643
产品定价,Q1,1.1256281407035176,1.1256281407035176,1.275,0.975,1.275,0.975,1.275,0.25,7244.58,1123.45,34557.65,30.5871
产品定价,Q1,1.1266331658291457,1.1266331658291457,1.275,0.975,1.275,0.975,1.275,0.25,7227.78,1135.52,34409.99,31.0157
产品定价,Q1,1.127638190954774,1.127638190954774,1.275,0.975,1.275,0.975,1.275,0.25,7215.66,1127.76,34559.65,30.7561
产品定价,Q1,1.128643216080402,1.128643216080402,1.275,0.975,1.275,0.975,1.275,0.25,7296.82,1134.23,34918.88,32.4556
产品定价,Q1,1.12964824120603,1.12964824120603,1.275,0.975,1.275,0.975,1.275,0.25,7268.56,1146.44,34758.38,36.3711
产品定价,Q1,1.1306532663316582,1.1306532663316582,1.275,0.975,1.275,0.975,1.275,0.25,7252.39,1137.54,34962.49,39.8794
产品定价,Q1,1.1316582914572864,1.1316582914572864,1.275,0.975,1.275,0.975,1.275,0.25,7311.21,1138.04,34953.59,30.8178
产品定价,Q1,1.1326633165829145,1.1326633165829145,1.275,0.975,1.275,0.975,1.275,0.25,7252.81,1138.09,34738.21,32.8523
产品定价,Q1,1.1336683417085427,1.1336683417085427,1.275,0.975,1.275,0.975,1.275,0.25,7254.97,1123.36,34729.17,29.7496
产品定价,Q1,1.1346733668341709,1.1346733668341709,1.275,0.975,1.275,0.975,1.275,0.25,7266.91,1131.07,34718.2,29.2605
产品定价,Q1,1.135678391959799,1.135678391959799,1.275,0.975,1.275,0.975,1.275,0.25,7234.08,1116.52,34665.53,31.1591
产品定价,Q1,1.1366834170854272,1.1366834170854272,1.275,0.975,1.275,0.975,1.275,0.25,7259.68,1120.1,34645.69,26.6465
产品定价,Q1,1.1376884422110551,1.1376884422110551,1.275,0.975,1.275,0.975,1.275,0.25,7237.01,1128.86,34584.54,27.4173
产品定价,Q1,1.1386934673366833,1.1386934673366833,1.275,0.975,1.275,0.975,1.275,0.25,7309.01,1148.74,35109.87,31.7869
产品定价,Q1,1.1396984924623115,1.1396984924623115,1.275,0.975,1.275,0.975,1.275,0.25,7239.07,1122.58,34534.7,27.3426
产品定价,Q1,1.1407035175879396,1.1407035175879396,1.275,0.975,1.275,0.975,1.275,0.25,7345.71,1138.04,35277.84,26.8978
产品定价,Q1,1.1417085427135678,1.1417085427135678,1.275,0.975,1.275,0.975,1.275,0.25,7307.32,1134.23,34907.82,28.0444
产品定价,Q1,1.142713567839196,1.142713567839196,1.275,0.975,1.275,0.975,1.275,0.25,7267.53,1128.22,34727.87,25.9266
产品定价,Q1,1.1437185929648241,1.1437185929648241,1.275,0.975,1.275,0.975,1.275,0.25,7248.77,1133.5,34716.17,26.2578
产品定价,Q1,1.1447236180904523,1.1447236180904523,1.275,0.975,1.275,0.975,1.275,0.25,7227.71,1126.11,34625.75,26.0134
产品定价,Q1,1.1457286432160805,1.1457286432160805,1.275,0.975,1.275,0.975,1.275,0.25,7214.13,1137.49,34750.27,25.8408
产品定价,Q1,1.1467336683417084,1.1467336683417084,1.275,0.975,1.275,0.975,1.275,0.25,7280.12,1148.33,35030.97,25.9851
产品定价,Q1,1.1477386934673366,1.1477386934673366,1.275,0.975,1.275,0.975,1.275,0.25,7211.06,1130.52,34458.15,32.9903
产品定价,Q1,1.1487437185929648,1.1487437185929648,1.275,0.975,1.275,0.975,1.275,0.25,7222.51,1129.14,34532.31,36.9617
产品定价,Q1,1.149748743718593,1.149748743718593,1.275,0.975,1.275,0.975,1.275,0.25,7243.25,1124.27,34666.7,32.3373
产品定价,Q1,1.150753768844221,1.150753768844221,1.275,0.975,1.275,0.975,1.275,0.25,7277.04,1131.94,34578.37,40.3419
产品定价,Q1,1.1517587939698493,1.1517587939698493,1.275,0.975,1.275,0.975,1.275,0.25,7272.09,1131.11,34941.93,33.6597
产品定价,Q1,1.1527638190954774,1.1527638190954774,1.275,0.975,1.275,0.975,1.275,0.25,7295.06,1137.86,35032.96,34.7913
产品定价,Q1,1.1537688442211056,1.1537688442211056,1.275,0.975,1.275,0.975,1.275,0.25,7200.07,1131.21,34443.8,32.1155
产品定价,Q1,1.1547738693467335,1.1547738693467335,1.275,0.975,1.275,0.975,1.275,0.25,7235.21,1140.39,34636.41,32.2604
产品定价,Q1,1.1557788944723617,1.1557788944723617,1.275,0.975,1.275,0.975,1.275,0.25,7281.32,1115.55,34648.23,31.1161
产品定价,Q1,1.1567839195979899,1.1567839195979899,1.275,0.975,1.275,0.975,1.275,0.25,7258.01,1137.77,34597.96,31.4059
产品定价,Q1,1.157788944723618,1.157788944723618,1.275,0.975,1.275,0.975,1.275,0.25,7204.4,1127.35,34234.24,30.2869
产品定价,Q1,1.1587939698492462,1.1587939698492462,1.275,0.975,1.275,0.975,1.275,0.25,7267.56,1133.04,34664.31,33.2488
产品定价,Q1,1.1597989949748744,1.1597989949748744,1.275,0.975,1.275,0.975,1.275,0.25,7273.64,1132.86,34686.29,30.0619
产品定价,Q1,1.1608040201005025,1.1608040201005025,1.275,0.975,1.275,0.975,1.275,0.25,7272.77,1145.2,34887.61,28.892
产品定价,Q1,1.1618090452261307,1.1618090452261307,1.275,0.975,1.275,0.975,1.275,0.25,7221.97,1137.03,34336.07,28.6894
产品定价,Q1,1.1628140703517587,1.1628140703517587,1.275,0.975,1.275,0.975,1.275,0.25,7234.82,1117.76,34482.44,29.0813
产品定价,Q1,1.1638190954773868,1.1638190954773868,1.275,0.975,1.275,0.975,1.275,0.25,7202.01,1134.46,34464.45,31.7541
产品定价,Q1,1.164824120603015,1.164824120603015,1.275,0.975,1.275,0.975,1.275,0.25,7276.17,1130.06,34843.1,37.0889
产品定价,Q1,1.1658291457286432,1.1658291457286432,1.275,0.975,1.275,0.975,1.275,0.25,7242.17,1119.73,34464.73,34.649
产品定价,Q1,1.1668341708542713,1.1668341708542713,1.275,0.975,1.275,0.975,1.275,0.25,7281.44,1132.31,34725.4,30.498
产品定价,Q1,1.1678391959798995,1.1678391959798995,1.275,0.975,1.275,0.975,1.275,0.25,7269.6,1125.1,34886.51,31.0925
产品定价,Q1,1.1688442211055277,1.1688442211055277,1.275,0.975,1.275,0.975,1.275,0.25,7280.3,1123.72,34632.98,35.4175
产品定价,Q1,1.1698492462311558,1.1698492462311558,1.275,0.975,1.275,0.975,1.275,0.25,7262.22,1132.86,34594.95,40.6609
产品定价,Q1,1.170854271356784,1.170854271356784,1.275,0.975,1.275,0.975,1.275,0.25,7304.99,1138.96,34906.42,35.2097
产品定价,Q1,1.171859296482412,1.171859296482412,1.275,0.975,1.275,0.975,1.275,0.25,7265.56,1139.24,34631.17,33.2199
产品定价,Q1,1.17286432160804,1.17286432160804,1.275,0.975,1.275,0.975,1.275,0.25,7269.03,1134.14,34703.08,30.2449
产品定价,Q1,1.1738693467336683,1.1738693467336683,1.275,0.975,1.275,0.975,1.275,0.25,7265.11,1134.79,34753.71,29.0161
产品定价,Q1,1.1748743718592964,1.1748743718592964,1.275,0.975,1.275,0.975,1.275,0.25,7320.2,1139.33,35064.07,28.0597
产品定价,Q1,1.1758793969849246,1.1758793969849246,1.275,0.975,1.275,0.975,1.275,0.25,7227.92,1121.66,34664.89,33.4058
产品定价,Q1,1.1768844221105528,1.1768844221105528,1.275,0.975,1.275,0.975,1.275,0.25,7212.7,1115.28,34339.91,28.1371
产品定价,Q1,1.177889447236181,1.177889447236181,1.275,0.975,1.275,0.975,1.275,0.25,7295.87,1145.71,34921.96,27.7467
产品定价,Q1,1.178894472361809,1.178894472361809,1.275,0.975,1.275,0.975,1.275,0.25,7248.29,1127.49,34572.4,29.932
产品定价,Q1,1.179899497487437,1.179899497487437,1.275,0.975,1.275,0.975,1.275,0.25,7293.63,1133.82,34952.19,28.2018
产品定价,Q1,1.1809045226130652,1.1809045226130652,1.275,0.975,1.275,0.975,1.275,0.25,7313.25,1140.52,35048.36,28.898
产品定价,Q1,1.1819095477386934,1.1819095477386934,1.275,0.975,1.275,0.975,1.275,0.25,7240.04,1129.78,34664.09,28.6615
产品定价,Q1,1.1829145728643216,1.1829145728643216,1.275,0.975,1.275,0.975,1.275,0.25,7280.35,1144.47,34927.14,28.443
产品定价,Q1,1.1839195979899497,1.1839195979899497,1.275,0.975,1.275,0.975,1.275,0.25,7252.63,1129.42,34630.84,28.4661
产品定价,Q1,1.184924623115578,1.184924623115578,1.275,0.975,1.275,0.975,1.275,0.25,7216.99,1123.91,34534.65,27.2877
产品定价,Q1,1.185929648241206,1.185929648241206,1.275,0.975,1.275,0.975,1.275,0.25,7301.85,1151.45,35127.85,28.2298
产品定价,Q1,1.1869346733668342,1.1869346733668342,1.275,0.975,1.275,0.975,1.275,0.25,7261.46,1138.41,34820.58,28.4574
产品定价,Q1,1.1879396984924622,1.1879396984924622,1.275,0.975,1.275,0.975,1.275,0.25,7237.05,1129.83,34630.67,27.6253
产品定价,Q1,1.1889447236180903,1.1889447236180903,1.275,0.975,1.275,0.975,1.275,0.25,7292.85,1129.28,34967.59,26.872
产品定价,Q1,1.1899497487437185,1.1899497487437185,1.275,0.975,1.275,0.975,1.275,0.25,7293.71,1119.96,34801.27,26.8874
产品定价,Q1,1.1909547738693467,1.1909547738693467,1.275,0.975,1.275,0.975,1.275,0.25,7318.76,1146.26,35158.1,27.183
产品定价,Q1,1.1919597989949748,1.1919597989949748,1.275,0.975,1.275,0.975,1.275,0.25,7264.68,1140.8,34913.71,28.5546
产品定价,Q1,1.192964824120603,1.192964824120603,1.275,0.975,1.275,0.975,1.275,0.25,7232.69,1140.11,34680.41,28.9461
产品定价,Q1,1.1939698492462312,1.1939698492462312,1.275,0.975,1.275,0.975,1.275,0.25,7309.44,1134.01,34978.32,26.673
产品定价,Q1,1.1949748743718593,1.1949748743718593,1.275,0.975,1.275,0.975,1.275,0.25,7215.8,1109.17,34374.14,29.3283
产品定价,Q1,1.1959798994974875,1.1959798994974875,1.275,0.975,1.275,0.975,1.275,0.25,7309.39,1140.34,34974.64,27.8592
